day,files_started,sum_a15_hours
2026-04-25,3,88.6
2026-04-27,1,0.1
2026-04-28,1,2.4
2026-04-29,1,8.7
2026-04-30,123,27.1
2026-05-01,536,10.1
2026-05-02,182,13.2
2026-05-03,25,2.4
2026-05-04,23,0.9
2026-05-05,17,1.3
2026-05-06,17,2.6
2026-05-07,18,0.6
2026-05-08,24,4.9
2026-05-09,4,0.8
2026-05-17,358,14.7
2026-05-18,1262,9.2
2026-05-19,55,3.0
2026-05-20,636,21.2
2026-05-21,88,3.3
2026-05-22,158,3.5
2026-05-23,75,4.0
2026-05-24,71,4.2
2026-05-25,617,20.9
2026-05-26,439,30.7
2026-05-27,757,14.3
2026-05-28,594,5.4
2026-05-29,5,31.6
2026-05-30,33,59.8
2026-05-31,16,0.2
2026-06-01,4,0.1
2026-06-06,12,0.0
2026-06-07,10,5.6
2026-06-08,3,2.4
2026-06-09,8,5.9
2026-06-10,2,0.0
2026-06-12,1,0.4
2026-06-16,3,6.9
2026-06-17,8,1.1
2026-06-18,4,0.5
2026-06-19,24,13.9
2026-06-20,18,0.2
2026-06-22,941,13.6
2026-06-23,200,17.4
2026-06-26,1685,40.4
2026-06-27,1031,18.3
2026-06-28,490,9.3
2026-06-29,722,8.7
2026-06-30,10,0.1
2026-07-02,792,16.8
2026-07-03,782,6.3
2026-07-04,209,2.6
2026-07-05,1856,23.7
2026-07-06,2243,37.7
2026-07-07,4777,50.1
2026-07-08,3162,47.9
2026-07-09,1355,13.0
2026-07-10,1,0.1
2026-07-11,1980,36.0
2026-07-12,2429,40.6
2026-07-13,2506,20.3
2026-07-14,462,5.0
2026-07-15,89,12.6
2026-07-16,2,0.0
2026-07-17,179,25.6
2026-07-18,972,23.5
2026-07-19,429,12.3
2026-07-20,227,21.1
2026-07-22,667,66.7
2026-07-23,68,4.8
