stratum,metric,bucket_min,count
TRUSTED,w_min,0-1,26015
TRUSTED,w_min,1-2,9077
TRUSTED,w_min,2-5,560
TRUSTED,w_min,5-10,305
TRUSTED,w_min,15-30,261
TRUSTED,w_min,10-15,95
TRUSTED,w_min,30-60,46
TRUSTED,w_min,480-960,24
TRUSTED,w_min,2880-10080,22
TRUSTED,w_min,120-240,20
TRUSTED,w_min,>=10080,20
TRUSTED,w_min,240-480,20
TRUSTED,w_min,60-120,16
TRUSTED,w_min,1440-2880,16
TRUSTED,w_min,960-1440,5
TRUSTED,a15_min,0-1,26015
TRUSTED,a15_min,1-2,9077
TRUSTED,a15_min,2-5,560
TRUSTED,a15_min,5-10,305
TRUSTED,a15_min,15-30,275
TRUSTED,a15_min,10-15,95
TRUSTED,a15_min,120-240,48
TRUSTED,a15_min,30-60,45
TRUSTED,a15_min,60-120,36
TRUSTED,a15_min,240-480,28
TRUSTED,a15_min,480-960,10
TRUSTED,a15_min,1440-2880,5
TRUSTED,a15_min,960-1440,3
TRUSTED+UWC,w_min,0-1,30046
TRUSTED+UWC,w_min,1-2,9940
TRUSTED+UWC,w_min,2-5,579
TRUSTED+UWC,w_min,5-10,335
TRUSTED+UWC,w_min,15-30,278
TRUSTED+UWC,w_min,10-15,120
TRUSTED+UWC,w_min,30-60,51
TRUSTED+UWC,w_min,480-960,24
TRUSTED+UWC,w_min,2880-10080,22
TRUSTED+UWC,w_min,120-240,20
TRUSTED+UWC,w_min,>=10080,20
TRUSTED+UWC,w_min,240-480,20
TRUSTED+UWC,w_min,60-120,18
TRUSTED+UWC,w_min,1440-2880,16
TRUSTED+UWC,w_min,960-1440,5
TRUSTED+UWC,a15_min,0-1,30046
TRUSTED+UWC,a15_min,1-2,9940
TRUSTED+UWC,a15_min,2-5,579
TRUSTED+UWC,a15_min,5-10,335
TRUSTED+UWC,a15_min,15-30,293
TRUSTED+UWC,a15_min,10-15,120
TRUSTED+UWC,a15_min,30-60,50
TRUSTED+UWC,a15_min,120-240,48
TRUSTED+UWC,a15_min,60-120,37
TRUSTED+UWC,a15_min,240-480,28
TRUSTED+UWC,a15_min,480-960,10
TRUSTED+UWC,a15_min,1440-2880,5
TRUSTED+UWC,a15_min,960-1440,3
